,Medicines,Common_Names
18,Ashwagandha,"

Physalis somnifera


Withania somnifera

Ajagandha
Amangura
Amukkirag
Asan
Asana
Asgand
Asgandh
Asgandha
Ashagandha
Ashvagandha
Ashwaganda
Ashwanga
Asoda
Asundha
Asvagandha
Aswaganda
Aswagandha
Avarada
Clustered Winter Cherry
Indian Ginseng
Kanaje Hindi
Kuthmithi
Samm al ferakh
Winter Cherry
Withania
Withania Somnifera"
19,Astragalus,"

Astragalus membranaceus


Astragalus mongholicus

Astragale
Astragalo
Astragalus
Beg Kei
Bei Qi
Buck Qi
Chinese Astragalus
Huang Chi
Huang Qi
Huang Se
Hwanggi
Jin Fu Kang
Membranous Milk Vetch
Membranous Milk-Vetch
Meng Gu Huang Qi
Milk Vetch
Mongolian Milk
Ogi
Ougi
Radix Astragali
Radix Astragalus"
20,Barberry,"Barberry also is known as holly barberry, Oregon grape, Oregon barberry, Oregon grapeholly, trailing mahonia, berberis, jaundice berry, woodsour, sowberry, pepperidge bush, and sour-spine"
21,Barley Grass,Barley also is known as barley grass and hordeum.
22,Bayberry,"Bayberry also is known as wax myrtle plant,  candleberry, Chinese bayberry, red bayberry, waxberry, and yang-mei."
23,Bee Pollen,"
Bee Bread
Bee Pollen Extract
Buckwheat Pollen
Honey Bee Pollen
Honeybee Pollen
Maize Pollen
Pine Pollen
Pollen"
24,Beta Glucans,Beta glycans also are known as beta-glucans.
25,Beta-Carotene,"
A-Beta-Carotene
Canthaxanthin
Carophyll Red
Carotenes
Carotenoids
Food Orange 8
Mixed Carotenoids
Provitamin A
Provitamine A
Roxanthin Red 10
Tanning Pill
Tanning Tablet"
26,Beta-Sitosterol,"
Angelicin
B-Sisterol
B-Sitosterol 3-B-D-Glucoside
B-Sitosterolin
B-Sitosterols
Beta Sitosterin
Beta Sitosterol
Beta-Sisterol
Beta-Sitosterol Glucoside
Beta-Sitosterol Glycoside
Beta-Sitosterols
Betasitosterols
Campesterol
Cinchol
Cupreol
Phytoesterol Esters
Phytosterol
Phytosterols
Plant Phytosterols
Plant Sterol
Plant Sterol Esters
Plant Sterolins
Plant Sterols
Quebrachol
Rhamnol
Sitosterin
Sitosterolins
Sitosterols
Sterinol
Sterolins
Stigmasterol
Vegetable Oil Sterol Esters
Vegetable Sterol Esters"
27,Betaine Hydrochloride,"
Betain
Betain HCL
Betaine Chlorhydrate
Betaine Hydrochloric Acid
Glycine Betaine
Lycine
TMG
Trimethyl Glycine
Trimethylglycine
Trimethylglycine Hydrochloride"
28,Betel Nut,"Areca nut, paan, paan-gutkha pinlang, pinang, and supari."
29,Betony,"Betony is also known as wood betony, purple betony,  bishop's wort, and common hedge nettle."
30,Bilberry,"

Fructus myrtilli


Vaccinium myrtillus

Airelle
Bilberries
Bilberry
Bilberry Fruit
Bilberry Leaf
Black Whortles
Bleaberry
Bog Bilberry
Brimbelle
Burren Myrtle
Burrenmyrtle
Dwarf Bilberry
Dyeberry
European Blueberry
Heidelbeere
Huckleberry
Hurtleberry
Mauret
Myrtille
Swedish Bilberry
Trackleberry
Whortleberry
Wineberry"
31,Biotin,"

d-(+)-Biotin; hexahydro-2-oxo-1H-thieno[3,4-d]imidazole-4-pentanoic acid
Biotin
Biotina
Biotine
Biotine-D
Coenzyme R
D-Biotin
Factor S
Vitamin B7
Vitamin H
Vitamine B7
Vitamine H
W Factor"
32,Bitter Melon,"

Momordica charantia

African Cucumber
Ampalaya
Art Pumpkin
Balsam Apple
Balsam Pear
Balsambirne
Balsamine
Balsamo
Bitter Apple
Bitter Cucumber
Bitter Gourd
Bitter Melon
Bitter Squash
Bittergurke
Carilla Cundeamor
Carilla Fruit
Carilla Gourd
Cerasee
Margose
Melon Amer
Vegetable Insulin
Wild Cucumber"
33,Bitter Orange,"

Citrus aurantium

Aurantium
Bigarade
Bigarade Orange
Bitter Orange Flower
Bitter Orange Peel
Chao Zhi Ke
Chisil
Citrus Aurantium Fruit
Green Orange
Kijitsu
Laranja-Amarga
Laranja-Azeda
Laranja-Cavalo
Marmalade Orange
Methyl-Synephrine
Methyl-Synephrine HCl
N-Methyltyramine
Neroli Flowers
Neroli Oil
Norsynephrine
Octopamine
Octopamine HCl
Orange Peel Extract
Seville Orange
Shangzhou Zhiqiao
Sour Orange
Synephrine
Synephrine HCl
Synephrine Hydrochloride
Zhi Qiao
Zhi Shi"
34,Black Cohosh,"

Actaea macrotys


Actaea racemosa


Cimicifuga racemosa

Baneberry
Black Aristolochiaceae
Black Bugbane
Black Snakeroot
Bugbane
Bugwort
Cimicifuga
Cimicifuge
Cohosh Negro
Cohosh Noir
Cytise
Fairy Candle
Macrotys
Phytoestrogen
Rattle Root
Rattle Top
Rattleroot
Rattlesnake Root
Rattletop
Rattleweed
Remifemin
Rhizoma Cimicifugae
Sheng Ma
Snakeroot
Squaw Root
Squawroot
Traubensilberberze
Wanzenkraut"
35,Bladderwrack,"

Ascophyllum nodosum


Fucus vesiculosis

Atlantic Kelp
Black Tang
Bladder Fucus
Bladder Wrack
Blasentang
Cutweed
Fucus
Kelp
Kelpware
Knotted Wrack
Laminaire
Marine Oak
Norwegian Seaweed
Ocean Kelp
Rockweed
Rockwrack
Sea Kelp
Seaweed
Seawrack
Tang
Varech"
36,Bloodroot,"Bloodroot also is known as bloodwort, red pucoon, redroot, coon root, paucon, sweet slumber, tetterwort, snakebite, Indian paint, and black paste."
